1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
0.000000 0.000000 1.000000
1.500000 0.500000 -1.500000
1.500000 2.500000 1.500000
3.000000 -1.000000 2.000000
6.000000 2.000000 2.000000 a_A
4.000000 -0.000000 2.000000 a_B
1.500000 1.500000 0.500000 a_A
2.000000 2.000000 1.000000 a_A
1.000000 0.000000 0.000000 a_B
1.500000 0.500000 0.500000 a_B
2.000000 1.000000 1.000000 a_A
2.500000 1.500000 1.500000 a_A
3.000000 2.000000 2.000000 a_A
2.000000 -0.000000 1.000000 a_B
2.500000 0.500000 1.500000 a_B
3.000000 1.000000 2.000000 a_B
3.500000 1.500000 2.500000 a_A
2.500000 -0.500000 1.500000 a_B
3.000000 0.000000 2.000000 a_B
3.500000 0.500000 2.500000 a_A
4.000000 1.000000 3.000000 a_B
5.000000 1.000000 2.000000 a_A
2.500000 2.500000 0.500000 a_A
1.500000 0.500000 -0.500000 a_B
2.000000 1.000000 0.000000 a_B
2.500000 1.500000 0.500000 a_B
3.000000 2.000000 1.000000 a_B
2.000000 0.000000 0.000000 a_B
2.500000 0.500000 0.500000 a_A
3.000000 1.000000 1.000000 a_B
3.500000 1.500000 1.500000 a_A
4.000000 2.000000 2.000000 a_B
3.000000 -0.000000 1.000000 a_A
3.500000 0.500000 1.500000 a_A
4.000000 1.000000 2.000000 a_A
4.500000 1.500000 2.500000 a_A
3.500000 -0.500000 1.500000 a_B
2.000000 1.000000 -1.000000 a_A
2.500000 1.500000 -0.500000 a_B
3.000000 2.000000 -0.000000 a_B
3.500000 2.500000 0.500000 a_A
2.500000 0.500000 -0.500000 a_B
3.000000 1.000000 -0.000000 a_B
3.500000 1.500000 0.500000 a_A
4.000000 2.000000 1.000000 a_A
3.000000 -0.000000 0.000000 a_A
3.500000 0.500000 0.500000 a_B
4.000000 1.000000 1.000000 a_A
4.500000 1.500000 1.500000 a_A
5.000000 2.000000 2.000000 a_B
4.000000 -0.000000 1.000000 a_B
4.500000 0.500000 1.500000 a_A
