1.000000 0.000000 0.000000
-0.500000 0.866025 0.000000
0.000000 0.000000 1.632990
1.000000 -1.000000 -3.000000
1.000000 -1.000000 1.000000
-5.000000 -3.000000 1.000000
-2.000000 -3.000000 -2.000000 c_B
-1.000000 -2.000000 -2.000000 c_A
-0.000000 -2.000000 -2.000000 c_B
1.000000 -2.000000 -2.000000 c_A
-4.000000 -4.000000 -1.000000 c_A
-3.000000 -4.000000 -1.000000 c_B
-2.000000 -4.000000 -1.000000 c_A
-3.000000 -3.000000 -1.000000 c_B
-2.000000 -3.000000 -1.000000 c_A
-1.000000 -3.000000 -1.000000 c_B
-1.000000 -3.000000 -0.000000 c_B
-1.000000 -2.000000 -1.000000 c_A
0.000000 -2.000000 -1.000000 c_A
1.000000 -2.000000 -1.000000 c_A
-0.000000 -1.000000 -1.000000 c_A
-4.000000 -4.000000 0.000000 c_A
-3.000000 -4.000000 -0.000000 c_B
-4.000000 -3.000000 -0.000000 c_A
-3.000000 -3.000000 0.000000 c_A
-2.000000 -3.000000 -0.000000 c_B
-2.000000 -2.000000 -0.000000 c_A
-1.000000 -2.000000 -0.000000 c_A
-0.000000 -2.000000 0.000000 c_A
-1.000000 -1.000000 -0.000000 c_A
-0.000000 -1.000000 0.000000 c_A
-4.000000 -4.000000 1.000000 c_A
-3.000000 -5.000000 -1.000000 c_A
-4.000000 -3.000000 1.000000 c_B
-3.000000 -3.000000 1.000000 c_B
-2.000000 -3.000000 1.000000 c_B
-1.000000 -3.000000 -2.000000 c_A
-1.000000 -2.000000 1.000000 c_B
-1.333333 -2.666667 -1.500000 c_A
-0.333333 -1.666667 -1.500000 c_B
0.666667 -1.666667 -1.500000 c_A
-3.333333 -4.666667 -0.500000 c_B
-3.333333 -3.666667 -0.500000 c_A
-2.333333 -3.666667 -0.500000 c_A
-2.333333 -2.666667 -1.500000 c_B
-2.333333 -2.666667 -0.500000 c_A
-1.333333 -2.666667 -0.500000 c_A
-0.333333 -2.666667 -0.500000 c_A
-1.333333 -1.666667 -0.500000 c_A
-0.333333 -1.666667 -0.500000 c_B
0.666667 -1.666667 -0.500000 c_A
-4.333333 -3.666667 -0.500000 c_A
-4.333333 -3.666667 0.500000 c_B
-3.333333 -3.666667 0.500000 c_A
-2.333333 -3.666667 0.500000 c_A
-3.333333 -2.666667 0.500000 c_A
-2.333333 -2.666667 0.500000 c_A
-1.333333 -2.666667 0.500000 c_A
-1.333333 -1.666667 0.500000 c_B
-0.333333 -1.666667 0.500000 c_A
-0.333333 -0.666667 -0.500000 c_A
0.666667 -1.666667 -2.500000 c_A
-4.333333 -3.666667 1.500000 c_A
-3.333333 -3.666667 1.500000 c_B
-3.333333 -3.666667 -1.500000 c_B
-2.333333 -3.666667 -1.500000 c_B
-1.333333 -3.666667 -1.500000 c_A
-2.333333 -1.666667 0.500000 c_B
-0.333333 -2.666667 -1.500000 c_B
0.666667 -2.666667 -1.500000 c_B
